Delta,Theta,Alpha,Beta,Gamma,Word
1075,1397,1999,3203,4401,left
1098,1337,1940,3215,4272,left
1029,1448,1845,3286,4345,left
1095,1402,1888,3198,4200,left
1004,1466,1998,3300,4306,left
1099,1457,1967,3254,4155,left
1048,1473,1985,3299,4386,left
1069,1361,1853,3194,4309,left
1011,1423,1919,3190,4101,left
1010,1483,1974,3227,4287,left
1040,1481,1956,3131,4129,left
1001,1333,1824,3203,4319,left
1077,1394,1933,3120,4212,left
1005,1306,1809,3241,4150,left
1095,1446,1956,3145,4314,left
1070,1345,1903,3224,4273,left
1037,1421,1897,3151,4309,left
1063,1384,1807,3104,4360,left
1036,1300,1969,3213,4180,left
1003,1412,1930,3194,4452,left
1064,1416,1911,3189,4188,left
1092,1434,1901,3222,4247,left
1093,1329,1824,3128,4184,left
1079,1370,1827,3205,4261,left
1088,1410,1923,3268,4461,left
1047,1373,1888,3181,4286,left
1000,1466,1952,3118,4323,left
1025,1413,1880,3125,4435,left
1078,1439,1851,3192,4403,left
1057,1451,1835,3179,4492,left
1159,1575,2455,3741,4659,right
1117,1632,2301,3912,4672,right
1138,1635,2391,3859,4786,right
1119,1662,2257,3629,4940,right
1167,1665,2375,3614,4930,right
1172,1653,2954,3903,4690,right
1130,1585,2443,3650,4824,right
1118,1650,2580,3507,4895,right
1118,1601,2916,3858,4972,right
1150,1606,2598,3642,4923,right
1151,1656,2439,3663,4762,right
1166,1654,2669,3547,4683,right
1129,1589,2365,3891,4773,right
1142,1644,2877,3731,4852,right
1116,1577,2610,3814,4866,right
1109,1659,2723,3871,4805,right
1158,1571,2488,3563,4709,right
1134,1584,2879,3629,4605,right
1143,1639,2544,3511,4705,right
1139,1674,2341,3757,4787,right
1136,1664,2831,3752,4641,right
1124,1651,2427,3574,4891,right
1105,1608,2922,3563,4602,right
1128,1675,2329,3623,4612,right
1151,1650,2589,3669,4737,right
1149,1660,2213,3601,4791,right
1164,1644,2475,3616,4793,right
1155,1632,2205,3912,4669,right
1134,1609,2882,3712,4724,right
1120,1653,2493,3563,4612,right
1041,1361,1881,3253,4260,left
1044,1338,1937,3165,4315,left
1084,1308,1933,3184,4220,left
1063,1484,1815,3200,4276,left
1072,1387,1893,3158,4428,left
1019,1327,1947,3237,4169,left
1045,1461,1870,3187,4152,left
1078,1452,1906,3148,4184,left
1014,1304,1957,3142,4482,left
1003,1430,1864,3102,4446,left
1051,1468,1910,3205,4372,left
1083,1422,1870,3181,4346,left
1061,1420,1833,3289,4313,left
1082,1334,1820,3197,4170,left
1049,1487,1856,3178,4152,left
1093,1358,1881,3100,4241,left
1098,1345,1897,3134,4448,left
1090,1367,1957,3296,4381,left
1056,1366,1914,3287,4170,left
1032,1366,1945,3167,4377,left
1051,1357,1981,3177,4255,left
1015,1392,1893,3133,4484,left
1081,1336,1949,3267,4368,left
1056,1409,1935,3104,4393,left
1090,1481,1830,3233,4381,left
1053,1471,1862,3123,4486,left
1065,1368,1926,3241,4225,left
1051,1368,1898,3131,4366,left
1096,1420,1886,3294,4200,left
1079,1322,1858,3267,4144,left
1163,1673,2781,3678,4859,right
1109,1640,2965,3773,4608,right
1172,1639,2369,3720,4743,right
1133,1589,2426,3975,4657,right
1108,1670,2425,3710,4898,right
1103,1621,2578,3762,4893,right
1140,1587,2826,3535,4915,right
1104,1628,2889,3835,4612,right
1160,1667,2689,3781,4658,right
1101,1660,2638,3660,4875,right
1166,1659,2950,3779,4696,right
1107,1590,2794,3673,4895,right
1155,1670,2495,3737,4666,right
1162,1613,2273,3948,4917,right
1165,1646,2611,3892,4901,right
1116,1661,2733,3700,4610,right
1101,1590,2839,3864,4640,right
1142,1635,2786,3785,4911,right
1158,1597,2635,3649,4670,right
1150,1605,2807,3736,4833,right
1142,1556,2694,3652,4805,right
1167,1592,2770,3769,4944,right
1142,1645,2942,3588,4953,right
1149,1592,2816,3692,4686,right
1116,1553,2830,3714,4893,right
1157,1579,2357,3620,4824,right
1110,1609,2653,3797,4799,right
1136,1672,2757,3536,4803,right
1153,1638,2745,3513,4771,right
1104,1670,2764,3841,4844,right
1088,1317,1988,3174,4272,left
1098,1460,1914,3299,4174,left
1049,1450,1945,3277,4433,left
1084,1306,1909,3233,4176,left
1089,1310,1925,3185,4369,left
1041,1360,1879,3178,4367,left
1060,1430,1966,3291,4236,left
1096,1357,1955,3112,4413,left
1085,1449,1978,3297,4229,left
1008,1479,1977,3154,4205,left
1044,1435,1838,3188,4425,left
1005,1339,1903,3147,4133,left
1036,1431,1849,3294,4109,left
1088,1316,1864,3179,4221,left
1070,1365,1909,3189,4181,left
1069,1360,1931,3218,4108,left
1002,1321,1832,3194,4182,left
1043,1351,1830,3145,4116,left
1054,1373,1865,3197,4363,left
1088,1403,1838,3132,4496,left
1038,1329,1996,3201,4422,left
1036,1302,1959,3219,4395,left
1042,1440,1861,3219,4462,left
1074,1326,1827,3261,4415,left
1042,1301,1803,3268,4182,left
1046,1451,1885,3256,4331,left
1045,1317,1901,3154,4336,left
1067,1465,1994,3218,4287,left
1003,1336,1808,3246,4217,left
1018,1316,1987,3144,4257,left
1148,1556,2263,3559,4860,right
1149,1562,2776,3610,4930,right
1146,1579,2943,3888,4764,right
1169,1626,2575,3632,4900,right
1137,1612,2411,3867,4968,right
1165,1601,2318,3943,4723,right
1133,1594,2661,3970,4747,right
1152,1593,2551,3646,4664,right
1113,1644,2502,3529,4951,right
1153,1672,2646,3870,4632,right
1108,1574,2587,3512,4618,right
1154,1642,2914,3502,4809,right
1147,1650,2228,3554,4811,right
1156,1662,2864,3796,4701,right
1107,1673,2793,3848,4732,right
1149,1606,2975,3614,4697,right
1143,1593,2267,3624,4849,right
1165,1561,2689,3591,4774,right
1165,1584,2844,3829,4764,right
1138,1593,2639,3765,4724,right
1119,1634,2287,3586,4904,right
1104,1665,2900,3518,4881,right
1169,1630,2959,3751,4629,right
1167,1564,2330,3607,4838,right
1112,1552,2212,3616,4884,right
1161,1584,2966,3679,4856,right
1175,1558,2343,3643,4734,right
1121,1609,2494,3852,4674,right
1152,1591,2489,3503,4866,right
1147,1615,2574,3749,4975,right
1031,1436,1979,3292,4446,left
1053,1434,1805,3250,4436,left
1036,1337,1896,3123,4367,left
1058,1471,1817,3160,4303,left
1085,1456,1963,3283,4338,left
1027,1362,1994,3282,4417,left
1009,1309,1858,3158,4222,left
1091,1357,1993,3139,4481,left
1098,1325,1966,3110,4276,left
1048,1442,1938,3247,4185,left
1085,1306,1808,3211,4245,left
1066,1301,1933,3271,4252,left
1012,1429,1843,3118,4238,left
1037,1329,1840,3127,4345,left
1069,1381,1925,3128,4211,left
1046,1449,1920,3158,4385,left
1096,1450,1855,3277,4374,left
1019,1363,1846,3283,4176,left
1042,1454,1806,3228,4499,left
1006,1435,1868,3249,4422,left
1074,1340,1878,3187,4434,left
1078,1490,1911,3122,4242,left
1022,1419,1957,3173,4397,left
1040,1367,1831,3203,4376,left
1025,1483,1829,3120,4260,left
1077,1428,1828,3102,4466,left
1036,1367,1880,3201,4457,left
1003,1375,1816,3300,4207,left
1098,1336,1952,3261,4390,left
1092,1429,1979,3130,4313,left
1132,1673,2826,3794,4859,right
1109,1641,2202,3869,4849,right
1137,1594,2817,3670,4840,right
1168,1594,2619,3534,4892,right
1149,1593,2502,3669,4612,right
1146,1579,2677,3855,4827,right
1167,1591,2585,3590,4765,right
1115,1557,2288,3737,4651,right
1112,1585,2378,3929,4605,right
1100,1619,2475,3902,4843,right
1147,1612,2240,3689,4659,right
1119,1561,2475,3627,4786,right
1145,1605,2624,3866,4821,right
1155,1644,2425,3597,4961,right
1145,1618,2457,3677,4685,right
1129,1655,2413,3972,4868,right
1137,1592,2832,3809,4759,right
1126,1650,2438,3798,4965,right
1155,1634,2688,3836,4663,right
1146,1659,2368,3584,4695,right
1136,1590,2583,3745,4949,right
1137,1653,2448,3688,4814,right
1167,1629,2567,3778,4672,right
1100,1609,2496,3584,4666,right
1124,1654,2369,3676,4791,right
1165,1563,2263,3610,4875,right
1136,1565,2472,3665,4681,right
1159,1659,2529,3932,4726,right
1104,1596,2796,3907,4749,right
1106,1564,2533,3882,4708,right
1069,1462,1999,3268,4332,left
1017,1449,1855,3152,4220,left
1047,1401,1804,3195,4142,left
1018,1319,1886,3108,4387,left
1054,1309,1978,3231,4377,left
1013,1305,1994,3232,4360,left
1016,1395,1902,3225,4170,left
1084,1406,1915,3112,4252,left
1047,1383,1871,3147,4244,left
1012,1433,1803,3136,4211,left
1028,1487,1951,3143,4183,left
1090,1481,1966,3230,4199,left
1004,1342,1810,3133,4248,left
1028,1362,1953,3192,4457,left
1086,1397,1903,3177,4206,left
1044,1331,1878,3192,4477,left
1063,1360,1852,3232,4289,left
1037,1305,1835,3280,4444,left
1084,1455,1920,3152,4114,left
1059,1381,1998,3123,4212,left
1006,1360,1832,3167,4418,left
1054,1329,1877,3273,4234,left
1030,1483,1921,3274,4282,left
1004,1372,1903,3263,4125,left
1083,1386,1812,3259,4452,left
1087,1457,1861,3166,4388,left
1089,1364,1812,3181,4400,left
1005,1452,1855,3279,4223,left
1030,1381,1905,3298,4493,left
1032,1400,1899,3236,4372,left
1153,1669,2579,3728,4776,right
1171,1667,2965,3900,4841,right
1173,1648,2453,3835,4883,right
1136,1672,2769,3974,4825,right
1125,1561,2625,3892,4751,right
1158,1587,2540,3565,4975,right
1121,1555,2279,3621,4714,right
1135,1627,2970,3564,4921,right
1175,1649,2660,3768,4826,right
1120,1553,2715,3532,4766,right
1172,1632,2320,3718,4779,right
1155,1654,2271,3528,4856,right
1101,1668,2615,3896,4866,right
1163,1668,2539,3620,4764,right
1170,1658,2726,3758,4736,right
1136,1642,2206,3688,4890,right
1160,1592,2472,3749,4870,right
1130,1675,2723,3873,4675,right
1160,1617,2778,3969,4868,right
1129,1552,2477,3782,4616,right
1131,1649,2583,3887,4713,right
1122,1612,2628,3592,4865,right
1175,1601,2596,3949,4972,right
1138,1619,2518,3863,4784,right
1148,1643,2376,3614,4795,right
1103,1576,2596,3863,4647,right
1140,1565,2856,3646,4715,right
1141,1653,2489,3559,4805,right
1110,1567,2902,3719,4684,right
1163,1603,2548,3862,4667,right
1070,1422,1948,3124,4262,left
1041,1442,1956,3141,4437,left
1077,1326,1941,3195,4162,left
1054,1462,1918,3138,4466,left
1051,1387,1969,3276,4417,left
1071,1392,1889,3295,4291,left
1024,1347,1807,3223,4145,left
1062,1370,1898,3160,4115,left
1075,1465,1903,3169,4261,left
1025,1363,1880,3120,4422,left
1026,1326,1892,3101,4252,left
1071,1451,1868,3260,4216,left
1097,1447,1890,3275,4175,left
1091,1487,1907,3172,4333,left
1089,1433,1862,3192,4101,left
1040,1458,1870,3111,4319,left
1018,1351,1937,3223,4318,left
1010,1401,1938,3193,4377,left
1065,1322,1829,3179,4345,left
1090,1385,1945,3274,4459,left
1002,1337,1943,3132,4225,left
1097,1372,1985,3162,4362,left
1084,1318,1976,3119,4471,left
1047,1350,1828,3243,4279,left
1051,1301,1909,3120,4408,left
1006,1357,1966,3275,4158,left
1008,1377,1888,3244,4379,left
1016,1324,1972,3220,4348,left
1000,1405,1895,3272,4425,left
1010,1418,1991,3263,4472,left
1129,1551,2245,3640,4786,right
1171,1627,2664,3511,4783,right
1136,1626,2666,3683,4663,right
1134,1648,2915,3723,4898,right
1136,1640,2235,3749,4628,right
1141,1650,2332,3656,4765,right
1118,1624,2321,3687,4739,right
1133,1663,2588,3732,4749,right
1115,1640,2328,3821,4874,right
1130,1596,2944,3726,4640,right
1169,1588,2663,3516,4814,right
1151,1636,2694,3717,4708,right
1155,1648,2690,3773,4818,right
1163,1557,2902,3613,4781,right
1102,1668,2431,3840,4803,right
1174,1604,2207,3577,4922,right
1100,1606,2619,3696,4916,right
1100,1591,2419,3639,4737,right
1172,1587,2602,3717,4935,right
1145,1615,2334,3537,4645,right
1165,1581,2809,3827,4956,right
1139,1598,2296,3706,4666,right
1123,1569,2947,3964,4828,right
1147,1589,2816,3551,4839,right
1169,1591,2585,3704,4643,right
1102,1611,2498,3635,4628,right
1118,1671,2728,3528,4661,right
1125,1590,2714,3757,4867,right
1156,1639,2229,3660,4642,right
1160,1562,2607,3540,4810,right
1089,1441,1805,3219,4474,left
1078,1327,1944,3300,4339,left
1022,1378,1913,3219,4376,left
1086,1368,1841,3150,4479,left
1048,1467,1896,3139,4242,left
1075,1356,1940,3284,4430,left
1012,1372,1875,3144,4111,left
1056,1385,1803,3115,4369,left
1086,1478,1985,3143,4400,left
1041,1487,1985,3272,4418,left
1040,1404,1961,3257,4210,left
1014,1326,1903,3278,4473,left
1036,1472,1807,3124,4492,left
1082,1436,1815,3277,4289,left
1099,1406,1838,3262,4329,left
1011,1438,1974,3289,4142,left
1015,1406,1990,3150,4308,left
1063,1375,1833,3179,4285,left
1064,1372,1854,3119,4462,left
1043,1478,1855,3168,4364,left
1033,1374,1951,3228,4296,left
1065,1354,1853,3225,4449,left
1071,1370,1938,3113,4125,left
1095,1438,1916,3277,4464,left
1035,1432,1843,3197,4133,left
1056,1490,1990,3275,4436,left
1039,1435,1920,3136,4176,left
1073,1395,1860,3268,4269,left
1094,1399,1878,3222,4246,left
1092,1407,1979,3191,4469,left
1145,1663,2920,3643,4712,right
1129,1587,2220,3852,4664,right
1138,1670,2451,3598,4633,right
1172,1557,2597,3849,4768,right
1120,1604,2387,3898,4679,right
1131,1601,2498,3666,4845,right
1161,1610,2755,3738,4656,right
1148,1646,2225,3937,4623,right
1134,1634,2246,3632,4747,right
1168,1632,2485,3907,4793,right
1152,1617,2644,3627,4740,right
1144,1577,2290,3715,4845,right
1136,1566,2905,3944,4970,right
1104,1639,2696,3842,4733,right
1100,1633,2616,3817,4973,right
1158,1663,2445,3553,4622,right
1101,1574,2219,3967,4884,right
1170,1619,2281,3785,4925,right
1141,1598,2318,3870,4930,right
1143,1646,2974,3735,4753,right
1170,1674,2875,3514,4765,right
1154,1651,2443,3609,4698,right
1152,1595,2680,3607,4921,right
1128,1569,2618,3750,4916,right
1168,1628,2476,3765,4937,right
1115,1593,2731,3943,4919,right
1119,1572,2591,3879,4664,right
1150,1556,2522,3627,4716,right
1149,1558,2414,3735,4752,right
1173,1631,2355,3853,4660,right
1007,1391,1839,3268,4189,left
1064,1311,1802,3249,4309,left
1085,1407,1954,3252,4339,left
1037,1422,1896,3158,4255,left
1079,1441,1938,3269,4112,left
1025,1482,1904,3203,4321,left
1009,1414,1996,3233,4352,left
1047,1450,1872,3166,4387,left
1034,1318,1824,3207,4146,left
1091,1454,1840,3238,4234,left
1090,1457,1935,3127,4153,left
1044,1310,1832,3187,4121,left
1098,1334,1893,3221,4384,left
1084,1332,1934,3278,4111,left
1027,1304,1911,3183,4237,left
1054,1307,1857,3148,4379,left
1063,1457,1961,3214,4123,left
1012,1333,1896,3200,4500,left
1059,1439,1871,3217,4402,left
1000,1472,1935,3230,4425,left
1061,1357,1989,3205,4256,left
1079,1389,1992,3129,4165,left
1056,1306,1913,3168,4360,left
1006,1343,1892,3124,4455,left
1052,1316,1818,3249,4157,left
1099,1379,1848,3219,4428,left
1079,1486,1884,3101,4241,left
1071,1386,1989,3225,4254,left
1081,1488,1894,3107,4445,left
1009,1323,1932,3273,4477,left
1129,1673,2964,3730,4613,right
1142,1588,2323,3773,4808,right
1159,1589,2373,3948,4720,right
1115,1576,2234,3526,4961,right
1101,1552,2790,3598,4957,right
1104,1670,2461,3665,4798,right
1128,1627,2341,3549,4922,right
1149,1634,2463,3798,4684,right
1168,1673,2548,3757,4745,right
1122,1674,2784,3633,4969,right
1128,1639,2722,3530,4618,right
1127,1609,2471,3810,4900,right
1120,1656,2632,3944,4755,right
1100,1573,2928,3921,4615,right
1157,1633,2786,3715,4633,right
1165,1551,2416,3672,4745,right
1107,1569,2447,3947,4693,right
1113,1590,2581,3775,4697,right
1148,1573,2809,3545,4852,right
1133,1563,2845,3863,4968,right
1158,1598,2522,3658,4822,right
1120,1550,2228,3870,4697,right
1104,1653,2331,3669,4704,right
1169,1582,2627,3809,4948,right
1169,1675,2225,3739,4904,right
1129,1619,2686,3722,4827,right
1167,1592,2706,3634,4836,right
1168,1557,2780,3652,4854,right
1101,1647,2812,3627,4620,right
1175,1673,2964,3688,4828,right
1038,1304,1976,3123,4224,left
1097,1370,1916,3208,4135,left
1039,1370,1977,3254,4101,left
1044,1374,1873,3148,4382,left
1035,1441,1953,3274,4187,left
1005,1428,1968,3123,4162,left
1090,1458,1898,3145,4208,left
1015,1445,1992,3112,4102,left
1086,1324,1919,3144,4402,left
1031,1374,1858,3191,4286,left
1080,1470,1974,3152,4399,left
1006,1394,1952,3220,4342,left
1009,1422,1801,3271,4110,left
1067,1475,1875,3113,4376,left
1038,1310,1800,3296,4454,left
1011,1468,1992,3289,4331,left
1010,1303,1953,3111,4421,left
1053,1391,1980,3166,4453,left
1019,1432,1969,3296,4277,left
1001,1351,1914,3113,4500,left
1003,1373,1886,3206,4296,left
1066,1348,1858,3231,4464,left
1016,1309,1971,3298,4277,left
1075,1361,1928,3300,4217,left
1059,1306,1821,3130,4242,left
1086,1353,1835,3182,4335,left
1050,1446,1992,3282,4471,left
1038,1396,1803,3157,4145,left
1068,1449,1937,3209,4147,left
1053,1470,1955,3117,4227,left
1134,1611,2425,3561,4963,right
1133,1604,2811,3722,4830,right
1161,1626,2779,3533,4737,right
1126,1560,2689,3895,4901,right
1118,1561,2510,3656,4623,right
1101,1581,2717,3557,4933,right
1131,1612,2275,3594,4649,right
1125,1600,2768,3876,4803,right
1109,1568,2907,3838,4957,right
1124,1656,2693,3567,4897,right
1130,1550,2400,3909,4654,right
1138,1586,2464,3924,4671,right
1143,1605,2604,3593,4847,right
1148,1610,2920,3699,4919,right
1114,1657,2259,3668,4929,right
1163,1616,2419,3862,4923,right
1128,1578,2255,3890,4722,right
1107,1586,2871,3780,4906,right
1155,1619,2451,3712,4969,right
1136,1555,2416,3937,4675,right
1173,1553,2390,3934,4785,right
1151,1604,2849,3791,4774,right
1165,1672,2873,3877,4959,right
1156,1624,2594,3609,4910,right
1116,1611,2214,3580,4684,right
1100,1624,2794,3660,4819,right
1159,1671,2519,3862,4884,right
1134,1637,2366,3920,4787,right
1130,1662,2898,3601,4937,right
1127,1578,2574,3794,4929,right
